t	x	y	z	adx	ady	adz
1352672390862	1.1168685	1.0215261	-7.2187843	-0.19613299	-0.11059722	-0.24734552
1352672390882	0.51757324	0.8036005	-6.5650077	-0.25006956	-0.12094869	-0.24462146
1352672390904	-0.87170225	0.7218784	-6.742072	-0.339419	-0.12803127	-0.29310986
1352672390925	-2.0566726	0.46309182	-7.6273947	-0.3840938	-0.14601013	-0.36938384
1352672390945	-2.465283	0.43585113	-8.771504	-0.41460338	-0.16289936	-0.48651895
1352672390965	-2.7785509	0.35412905	-9.152874	-0.4031623	-0.18905045	-0.50558734
1352672390986	-3.050958	0.05448139	-8.689782	-0.41787225	-0.2184704	-0.4674504
1352672391008	-3.92266	-0.20430522	-8.4854765	-0.47507775	-0.23209076	-0.4669056
1352672391025	-5.3800373	-0.24516626	-9.125633	-0.57477874	-0.22010487	-0.52411103
1352672391048	-6.578628	-0.43585113	-9.956474	-0.65105265	-0.21465671	-0.6047435
1352672391070	-6.4424243	-0.9942854	-11.114203	-0.5780476	-0.24189739	-0.6521423
1352672391086	-5.843129	-1.0351465	-11.481953	-0.53276515	-0.23416522	-0.6412041
1352672391110	-6.66035	-1.5935807	-11.386611	-0.50231844	-0.27894473	-0.5633376
1352672391144	-7.4230895	-1.484618	-11.659018	-0.5919176	-0.26729938	-0.52438337
1352672391147	-7.7227373	-1.7434045	-12.435377	-0.58022684	-0.26695886	-0.53446245
1352672391167	-7.709117	-2.2064962	-13.252599	-0.54917246	-0.27894476	-0.5627928
1352672391187	-7.681876	-2.8602731	-13.933616	-0.49305657	-0.30019248	-0.55516535
1352672391206	-7.246025	-3.8681788	-14.6827345	-0.4434785	-0.32361946	-0.52247655
1352672391226	-6.701211	-4.3312707	-15.622539	-0.4200515	-0.32035062	-0.50558734
1352672391247	-6.905516	-4.576437	-15.527196	-0.43203744	-0.3056406	-0.4783466
1352672391267	-7.0553403	-4.780742	-15.241169	-0.4146034	-0.2963788	-0.45383
1352672391287	-6.701211	-4.6036777	-14.9006605	-0.35086015	-0.2860273	-0.40043822
1352672391307	-6.7284517	-4.385752	-14.314985	-0.29855806	-0.2778551	-0.3301572
1352672391327	-6.7965536	-4.031623	-13.756551	-0.2849377	-0.24952479	-0.2675036
1352672391348	-6.905516	-3.7455957	-13.130015	-0.30182692	-0.20866375	-0.22391853
1352672391368	-6.7965536	-3.5549107	-12.9529505	-0.31653696	-0.18305749	-0.22936665
1352672391387	-6.4424243	-3.1871614	-12.966571	-0.2783999	-0.15963048	-0.25606254
1352672391408	-6.2244987	-2.7649305	-12.884849	-0.21411186	-0.13947234	-0.24571106
1352672391428	-6.238119	-2.4380422	-12.707785	-0.16725786	-0.11604536	-0.2032156
1352672391450	-6.306221	-1.8932283	-12.367276	-0.15363753	-0.093163185	-0.14383087
1352672391470	-6.2517395	-1.3075534	-11.413852	-0.13892755	-0.0664673	-0.09043911
1352672391490	-5.7341666	-0.626536	-10.58301	-0.10732834	-0.027240701	-0.0757291
1352672391510	-5.339176	-0.027240695	-9.80665	-0.05666064	0.007082579	-0.052846946
1352672391641	-4.8488436	0.4903325	-8.975809	0.02124775	0.029419953	0.005992966
1352672391642	-2.4516625	1.607201	-6.101916	0.19130397	0.14549008	0.24021341
1352672391642	-1.5118586	2.002191	-5.284695	0.22384745	0.1563379	0.2653007
1352672391642	-0.54481393	2.2064962	-4.9578066	0.254814	0.15833654	0.26786685
1352672391650	0.44947147	2.465283	-4.671779	0.35531342	0.18298641	0.33754775
1352672391669	1.3211738	2.7785509	-4.0861044	0.39262134	0.21674119	0.39854324
1352672391691	2.0566726	2.9964764	-3.486809	0.42341515	0.25464126	0.454209
1352672391712	2.8057916	3.2007818	-2.5742457	0.43703553	0.3073461	0.52645606
1352672391731	3.5412905	3.5412905	-1.3892754	0.44532618	0.34228525	0.61883754
1352672391766	4.862464	3.8545585	-1.3892754	0.5116513	0.366565	0.6146922
1352672391808	5.3527966	4.2904096	0.7763598	0.5752976	0.41315052	0.7186355
1352672391808	6.0474343	4.767122	1.1304889	0.5807221	0.41603968	0.702067
1352672391812	6.578628	5.09401	1.8387469	0.5785687	0.41216353	0.7023362
1352672391833	7.3141265	5.298315	2.7649305	0.61350787	0.40564942	0.71832526
1352672391853	8.049625	5.066769	3.486809	0.65022355	0.3831462	0.7224706
1352672391888	7.981524	5.1621118	4.072484	0.64252514	0.37900096	0.7402362
1352672391893	7.9679036	5.2165933	4.140586	0.626536	0.3653806	0.7437893
1352672391914	7.641015	5.3119354	2.1383946	0.6028484	0.351168	0.6531844
1352672391933	7.641015	5.448139	2.1383946	0.6034406	0.34287742	0.64548594
1352672391953	7.2596455	5.6252036	0.44947147	0.58982027	0.3268883	0.55724984
1352672391974	7.2187843	5.597963	0.4903325	0.5856749	0.3002398	0.5175732
1352672391993	7.2324047	5.339176	0.7354988	0.563764	0.2593788	0.49210906
1352672392014	7.1506824	5.1212506	0.14982383	0.5430373	0.22384745	0.43289015
1352672392034	6.605869	5.012288	-0.8308412	0.49803096	0.19660679	0.35412902
1352672392054	6.115536	5.175732	-1.9477097	0.45684913	0.195225	0.29283744
1352672392074	5.7341666	5.325556	-2.2882185	0.42332038	0.19340895	0.2675036
1352672392095	5.5571017	5.202973	-1.8387469	0.40022865	0.18125542	0.27450234
1352672392120	5.3119354	4.4947147	-1.4573772	0.3763251	0.14831047	0.27846038
1352672392137	4.903325	4.235928	-2.0158114	0.3482917	0.13377129	0.24857129
1352672392156	4.1814466	4.113345	-3.3506055	0.149279	0.06592249	0.052846976
1352672392176	3.4595683	4.1542063	-4.2223077	0.08553579	0.05502622	-0.005448122
1352672392196	2.9556155	3.8954194	-4.195067	0.035957716	0.035957716	-0.028330298
1352672392217	2.8466527	3.091819	-3.8136973	0.0016344547	-0.004358511	-0.04957808
1352672392250	2.465283	2.192876	-4.004382	-0.043040294	-0.05393658	-0.104604274
1352672392257	1.7161638	1.8251266	-5.284695	-0.07019717	-0.0660063	-0.14982384
1352672392278	0.38136974	2.192876	-6.742072	-0.17234978	-0.06391086	-0.2058768
1352672392300	-0.7082581	2.2473574	-7.164303	-0.20632304	-0.059525967	-0.2138899
1352672392319	-1.0760075	1.7025435	-6.537767	-0.30618542	-0.13565865	-0.33506057
1352672392341	-1.1849703	0.7491191	-6.0882955	-0.33996388	-0.18196782	-0.354129
1352672392360	-1.7297841	0.027240695	-6.26536	-0.3911764	-0.20158114	-0.39008674
1352672392380	-2.7921712	0.32688835	-7.1234417	-0.41699222	-0.1823031	-0.40808657
1352672392400	-4.235928	0.7763598	-7.504812	-0.4881533	-0.17760932	-0.4658159
1352672392420	-5.47538	0.7082581	-6.769313	-0.5246558	-0.18414709	-0.35630828
1352672392440	-6.1700177	-0.12258313	-6.496906	-0.55244136	-0.22282888	-0.345412
1352672392462	-6.864655	-1.1577295	-7.681876	-0.564972	-0.2713173	-0.3252539
1352672392482	-7.368608	-1.7978859	-10.119919	-0.5834957	-0.29583395	-0.42441005
1352672392502	-8.036005	-1.8932283	-12.489859	-0.61073637	-0.28929615	-0.52901435
1352672392523	-8.60806	-1.7570249	-13.525005	-0.6303497	-0.27513102	-0.5469932
1352672392543	-8.771504	-2.233737	-13.538626	-0.61509496	-0.289841	-0.5083114
1352672392563	-8.253931	-2.8466527	-13.565866	-0.57477874	-0.32089537	-0.46472627
1352672392583	-7.7227373	-3.6774938	-14.47843	-0.5382762	-0.36012197	-0.48760846
1352672392603	-7.668256	-3.881799	-15.826844	-0.52901435	-0.3633909	-0.5595239
1352672392623	-7.668256	-4.344891	-16.83475	-0.51920766	-0.35358417	-0.6150949
1352672392644	-7.7227373	-4.535576	-16.807508	-0.50504243	-0.35086015	-0.5916679
1352672392680	-7.8861814	-4.3312707	-15.5135765	-0.47273955	-0.3535615	-0.47046956
1352672392702	-7.954283	-3.568531	-13.933616	-0.45457911	-0.31099793	-0.4057729
1352672392722	-7.6546354	-3.1054392	-13.511385	-0.43755364	-0.2582191	-0.4040703
1352672392741	-7.681876	-2.5742457	-12.680544	-0.42279825	-0.1986301	-0.36150673
1352672392791	-7.572913	-2.2064962	-11.522814	-0.34583837	-0.19127709	-0.20785834
1352672392791	-7.096201	-2.1247742	-10.909899	-0.31156543	-0.17990212	-0.17365944
1352672392802	-6.3879433	-1.9885708	-10.8281765	-0.23665357	-0.17649704	-0.1526614
1352672392822	-6.142777	-1.7297841	-10.691973	-0.2111154	-0.14301367	-0.17309193
1352672392842	-5.7750273	-1.4573772	-10.419566	-0.19125237	-0.09193734	-0.18046963
1352672392862	-5.298315	-1.1713499	-10.2152605	-0.1486888	-0.04994127	-0.1645792
1352672392882	-4.971427	-0.7627395	-10.2152605	-0.090802334	-0.045401167	-0.12882578
1352672392902	-4.8352237	-0.13620348	-10.051817	-0.02497065	-0.038023468	-0.106125236
1352672392931	-4.5219555	0.24516626	-9.765789	0.03972602	-0.019295482	-0.12485317
1352672392944	-3.8273177	0.4903325	-9.466142	0.0976125	0.025538145	-0.12371818
1352672392962	-3.1190596	0.7354988	-9.01667	0.12203833	0.034323268	-0.1007906
1352672392983	-2.6014864	0.980665	-8.3765135	0.19863005	0.11577296	0.07264189
1352672393003	-1.8659877	1.2666923	-8.185829	0.25708407	0.13166337	0.17933457
1352672393023	-1.1032481	1.4165162	-8.117727	0.3127005	0.1322309	0.22530325
1352672393043	-0.40861043	1.607201	-7.668256	0.3484539	0.1600391	0.24459875
1352672393063	0.38136974	1.7297841	-7.1234417	0.36611497	0.15854086	0.25660735
1352672393083	0.9125633	1.9340894	-6.469665	0.36665982	0.19122969	0.28384805
1352672393103	1.56634	2.0294318	-6.3198414	0.3715631	0.22827701	0.32634354
1352672393124	2.152015	2.1792557	-6.4832854	0.39281085	0.24244218	0.37374237
1352672393144	2.547005	2.152015	-6.374323	0.42790595	0.2786496	0.43471608
1352672393164	2.9147544	2.2745981	-5.8976107	0.42549968	0.27240697	0.4363959
1352672393185	3.4187074	2.4516625	-5.039529	0.45219558	0.27131736	0.4189619
1352672393205	4.099725	2.547005	-3.990762	0.48216033	0.24462143	0.39771417
1352672393225	4.4810944	2.669588	-2.8738933	0.4854292	0.2310011	0.42549968
1352672393246	4.807983	2.901134	-1.7297841	0.49959433	0.21901521	0.4380304
1352672393266	5.066769	3.1871614	-0.7899802	0.49033248	0.2215926	0.4573294
1352672393286	5.8976107	3.445948	-0.19068487	0.50294393	0.22297014	0.4625874
1352672393315	6.932757	3.405087	0.32688835	0.532828	0.21574631	0.44620264
1352672393327	7.7363577	3.4187074	1.0351465	0.5551654	0.20593964	0.46908477
